code,num
C1072,787.7448464786064
C1128,1280.8873553182036
C1456,499.64545480731016
C1840,502.16856881839755
C1332,1192.956690552541
C1563,1638.3992593031815
C1794,795.6613921177624
C1640,522.6645887289764
C1377,365.52353539198884
C2072,264.89551858114714
C1472,462.06808215253176
C1006,315.0120014576946
C1083,425.9945042493461
C1311,249.7414540833176
C2676,376.70228818234875
C2318,353.1541445699972
C1603,413.49160078069895
C2523,377.1480877538406
C2177,276.74437898107396
C2411,598.004356282147
C2033,343.73239310576037
C1604,509.122641483268
C2535,555.8695387069326
C1040,425.1319198567434
C2417,462.00190601432905
C1812,198.56331246630924
C2253,207.24507289547722
C1294,643.9623889699941
C1772,561.8534828494134
C2646,623.107884319352
C1152,850.7710959135677
C2423,201.43857148783962
C1844,383.39061914706565
C1318,317.5169528483935
C1729,210.7909751120307
C1602,279.4508924625434
C1239,417.40427402382863
C1721,635.9671445150016
C1902,799.8222688233559
C1855,357.74778156889215
C2600,434.8894477372044
C1071,538.5715673893704
C2295,502.51147919095905
C1621,579.4354236917897
C1852,762.2631159334858
C2555,1334.437747953817
C1297,484.63197737237715
C2323,620.1691823286975
C2215,407.4125226024522
C2112,377.3103756122829
C1830,735.5606879287391
C2602,270.18480713201154
C2608,1137.5043366987484
C1215,561.8188782818512
C2369,657.2950311436712
C1158,285.83232696684433
C1887,576.2654299526805
C1189,300.7643992702929
C1637,546.733306904402
C1225,191.4581377233377
C2374,365.1104170819031
C2397,613.5128055731589
C1105,966.0616255148668
C1782,497.9926793981931
C1629,223.4957541899396
C1708,281.8474475884033
C2144,412.8043219228697
C1617,932.8271149912122
C1149,583.7632072363836
C1323,501.25869793644614
C1064,693.2328090329278
C1019,286.7513549196163
C2269,597.6946372337662
C1416,806.7544571720426
C1250,907.2352099407576
C1741,474.9673897622911
C1016,678.0588533797941
C2675,869.8469408850242
C2436,724.1650143578861
C2039,772.0516373930354
C1253,679.9556577491016
C2028,1074.3702324947712
C1166,402.19653464070905
C1135,259.3032541332338
C1216,310.1241404484891
C1593,258.41120589259043
C1826,306.998408351248
C1827,493.77801713716445
C1564,269.09429038934803
C1495,813.5236645056538
C2653,908.0097366879224
C1392,626.9263571342308
C2128,325.3207241624275
C1282,540.0732035421229
C1521,900.390500280829
C2076,787.2177046711377
C1060,622.0788688740442
C2473,886.5659092218407
C2557,810.2585467439969
C1835,791.5432911605594
C2224,828.4016901437977
C2222,408.87926184586536
C2430,701.1669359530098
C2497,677.1517632535746
C1494,933.1822670820086
C1457,526.6967601285527
C1525,1142.5606883635724
C1712,604.2962971219953
C2267,877.0700015826786
C1623,303.0325491641986
C2131,580.5519897382957
C2691,1003.3004347786792
C1147,693.7816659022458
C1692,799.6855934785549
C1570,754.4448221109461
C1474,126.61691059493955
C1633,247.57141639386595
C2113,589.1193187674287
C2175,842.2325857364547
C2303,1227.6159784824195
C2547,555.4284453319252
C2292,623.9364528505189
C1496,707.3319361887687
C1289,381.27251963172796
C1849,654.2548328440134
C1003,273.3069951456936
C2268,453.1987217891584
C2551,539.246320474453
C2688,118.9623538149076
C1030,87.78028867550711
C1327,248.37558939874185
C2451,543.953856229728
C1749,600.3561659712075
C1349,339.1365583860567
C2043,279.7820215454376
C1229,344.01363402785796
C2363,479.63525407107494
C1414,583.3437874293994
C2174,501.20363777325645
C2091,116.898534518046
C2335,516.2584491112597
C1841,156.86413693479943
C2404,171.25590088736152
C1683,322.79664562549453
C1038,391.39134265101336
C2456,290.15808365233306
C1266,503.17241688108703
C2152,139.84739105879464
C1267,446.8020263920888
C2189,304.5698290573658
