code,num
C1072,717.2146048641746
C1128,992.1518155763589
C1456,543.0297887704077
C1840,541.5199014506235
C1332,1004.1991448511777
C1563,1009.0580843413622
C1794,818.3978563472502
C1640,537.0313067595998
C1377,329.09359068868207
C2072,252.8399578055929
C1472,480.41483582842005
C1006,197.09775428465642
C1083,408.1725747249461
C1311,157.47125239976495
C2676,210.48091787064644
C2318,234.0076471789154
C1603,527.1304184865929
C2523,300.6483817886832
C2177,170.97527456308015
C2411,730.9861025703822
C2033,162.05858202918486
C1604,488.6272872491758
C2535,571.7265745686528
C1040,538.071067685574
C2417,487.32775632886194
C1812,132.5356131218918
C2253,130.76582577073134
C1294,640.2515042272469
C1772,537.8493633420185
C2646,599.3952127574348
C1152,874.5713090151494
C2423,226.06935446502513
C1844,531.2229410751859
C1318,187.4647446969977
C1729,108.44371129110844
C1602,311.5379412793397
C1239,421.7243451862996
C1721,668.8325632999373
C1902,840.4954169759168
C1855,343.84070288747074
C2600,460.92183797240114
C1071,511.7609553049118
C2295,456.5348936972644
C1621,623.7360071382561
C1852,792.8681909088664
C2555,971.0084971570905
C1297,488.04872439448997
C2323,595.4485723266208
C2215,374.8726691757661
C2112,331.51726969157767
C1830,799.712905013718
C2602,237.86429415360777
C2608,953.0465233396149
C1215,658.7119660702031
C2369,594.6769781160458
C1158,276.68497224469684
C1887,619.4115798768108
C1189,254.64821888929256
C1637,524.6557548728277
C1225,221.86641252496048
C2374,319.3086158497864
C2397,640.1727113594176
C1105,889.1234427681254
C1782,436.00535680702166
C1629,205.76930964196782
C1708,236.68669652440275
C2144,550.2897485716015
C1617,853.900626417485
C1149,601.5106147110297
C1323,477.67861991999195
C1064,704.0512845646193
C1019,253.62980900885265
C2269,596.1778428943875
C1416,848.1492551435176
C1250,932.9002261631352
C1741,460.09289006359666
C1016,677.2207034457557
C2675,657.8723675799581
C2436,653.4003116437988
C2039,821.0559696447247
C1253,737.0673769946022
C2028,945.0849909166399
C1166,327.1730226499751
C1135,267.0043268822826
C1216,289.5285652577501
C1593,243.50235761863237
C1826,272.44689175334423
C1827,440.32421478787273
C1564,260.0936055838542
C1495,809.6987824159485
C2653,846.6699616565751
C1392,622.7005902459977
C2128,298.4986194379943
C1282,631.3541648315681
C1521,812.7019595181333
C2076,848.2582898733679
C1060,639.0878115770535
C2473,838.0534885472473
C2557,796.8312602749238
C1835,811.5866438315549
C2224,778.1558273789449
C2222,351.20078625284003
C2430,668.7239573488151
C2497,631.8069657897188
C1494,957.840499543586
C1457,630.4378287753763
C1525,901.3946034635255
C1712,624.2363937490253
C2267,902.6865280587455
C1623,255.517900057955
C2131,461.63816513784565
C2691,1056.8744358435638
C1147,754.9330450612307
C1692,864.5338975338441
C1570,821.3736980796648
C1474,168.42672903069328
C1633,213.11693756374567
C2113,582.8469008433399
C2175,843.7736432421909
C2303,1165.734820732825
C2547,508.69278512531594
C2292,733.7294918744302
C1496,809.646661734513
C1289,358.47255724012757
C1849,647.2001519204636
C1003,186.14373839151128
C2268,375.2108126169075
C2551,511.66141822809254
C2688,170.57599901622558
C1030,113.04420975103187
C1327,107.67123963559162
C2451,533.1482163126487
C1749,433.4878183845034
C1349,190.86734724030234
C2043,174.35028348797456
C1229,190.8847743098119
C2363,434.64489337801575
C1414,402.7409816216152
C2174,461.90266587370803
C2091,88.84190985712243
C2335,249.13854105872244
C1841,122.04924700866125
C2404,123.45134137980024
C1683,161.51437571122298
C1038,245.64004554589144
C2456,239.59564996643937
C1266,497.48272741319505
C2152,91.45870559395175
C1267,316.0191427370118
C2189,245.18703063227326
